Date,VIX,VXX
1991-04-15,16.5,
1991-04-16,15.819999695,
1991-04-17,15.470000267,
1991-04-18,16.260000229,
1991-04-19,15.680000305,
1991-04-22,16.780000687,
1991-04-23,17.020000458,
1991-04-24,16.719999313,
1991-04-25,17.149999619,
1991-04-26,17.270000458,
1991-04-29,18.270000458,
1991-04-30,18.239999771,
1991-05-01,17.770000458,
1991-05-02,17.520000458,
1991-05-03,17.239999771,
1991-05-06,17.920000076,
1991-05-07,17.459999084,
1991-05-08,17.780000687,
1991-05-09,17.170000076,
1991-05-10,17.540000916,
1991-05-13,17.659999847,
1991-05-14,18.0,
1991-05-15,18.379999161,
1991-05-16,17.239999771,
1991-05-17,16.63999939,
1991-05-20,17.100000381,
1991-05-21,16.069999695,
1991-05-22,16.159999847,
1991-05-23,16.11000061,
1991-05-24,15.229999542,
1991-05-28,15.670000076,
1991-05-29,15.899999619,
1991-05-30,16.020000458,
1991-05-31,15.930000305,
1991-06-03,16.870000839,
1991-06-04,16.170000076,
1991-06-05,16.399999619,
1991-06-06,16.930000305,
1991-06-07,16.979999542,
1991-06-10,17.469999313,
1991-06-11,17.319999695,
1991-06-12,17.719999313,
1991-06-13,16.989999771,
1991-06-14,15.979999542,
1991-06-17,15.5,
1991-06-18,16.13999939,
1991-06-19,17.440000534,
1991-06-20,16.75,
1991-06-21,16.510000229,
1991-06-24,18.280000687,
1991-06-25,17.850000381,
1991-06-26,17.979999542,
1991-06-27,17.870000839,
1991-06-28,19.549999237,
1991-07-01,18.63999939,
1991-07-02,17.629999161,
1991-07-03,19.469999313,
1991-07-05,18.350000381,
1991-07-08,20.290000916,
1991-07-09,19.760000229,
1991-07-10,19.190000534,
1991-07-11,17.38999939,
1991-07-12,18.290000916,
1991-07-15,17.780000687,
1991-07-16,17.489999771,
1991-07-17,17.520000458,
1991-07-18,15.770000458,
1991-07-19,15.5,
1991-07-22,16.899999619,
1991-07-23,16.579999924,
1991-07-24,16.409999847,
1991-07-25,15.739999771,
1991-07-26,15.449999809,
1991-07-29,15.670000076,
1991-07-30,15.470000267,
1991-07-31,15.180000305,
1991-08-01,15.470000267,
1991-08-02,15.260000229,
1991-08-05,15.920000076,
1991-08-06,15.539999962,
1991-08-07,15.56000042,
1991-08-08,15.979999542,
1991-08-09,15.449999809,
1991-08-12,15.260000229,
1991-08-13,14.729999542,
1991-08-14,15.090000153,
1991-08-15,15.18999958,
1991-08-16,16.010000229,
1991-08-19,21.190000534,
1991-08-20,18.86000061,
1991-08-21,15.619999886,
1991-08-22,14.590000153,
1991-08-23,14.409999847,
1991-08-26,14.81000042,
1991-08-27,15.460000038,
1991-08-28,15.31000042,
1991-08-29,14.819999695,
1991-08-30,14.460000038,
1991-09-03,16.569999695,
1991-09-04,17.180000305,
1991-09-05,17.309999466,
1991-09-06,16.760000229,
1991-09-09,17.729999542,
1991-09-10,18.219999313,
1991-09-11,17.959999084,
1991-09-12,16.209999084,
1991-09-13,17.879999161,
1991-09-16,17.819999695,
1991-09-17,17.680000305,
1991-09-18,17.559999466,
1991-09-19,17.559999466,
1991-09-20,17.079999924,
1991-09-23,16.379999161,
1991-09-24,16.040000916,
1991-09-25,15.680000305,
1991-09-26,15.350000381,
1991-09-27,16.309999466,
1991-09-30,15.850000381,
1991-10-01,14.81000042,
1991-10-02,15.81000042,
1991-10-03,17.040000916,
1991-10-04,15.630000114,
1991-10-07,18.579999924,
1991-10-08,17.809999466,
1991-10-09,18.540000916,
1991-10-10,17.799999237,
1991-10-11,17.600000381,
1991-10-14,16.709999084,
1991-10-15,16.219999313,
1991-10-16,14.850000381,
1991-10-17,16.319999695,
1991-10-18,15.869999886,
1991-10-21,16.659999847,
1991-10-22,16.549999237,
1991-10-23,16.260000229,
1991-10-24,15.619999886,
1991-10-25,15.75,
1991-10-28,15.449999809,
1991-10-29,15.550000191,
1991-10-30,15.460000038,
1991-10-31,15.479999542,
1991-11-01,15.600000381,
1991-11-04,16.350000381,
1991-11-05,16.479999542,
1991-11-06,16.469999313,
1991-11-07,15.970000267,
1991-11-08,15.430000305,
1991-11-11,14.890000343,
1991-11-12,14.039999962,
1991-11-13,13.949999809,
1991-11-14,13.960000038,
1991-11-15,21.180000305,
1991-11-18,18.280000687,
1991-11-19,20.340000153,
1991-11-20,20.399999619,
1991-11-21,19.11000061,
1991-11-22,21.200000763,
1991-11-25,21.920000076,
1991-11-26,19.799999237,
1991-11-27,19.840000153,
1991-11-29,20.260000229,
1991-12-02,20.180000305,
