,0.2
2014-06-26,1.1489768637904714
2014-06-27,1.1507791804395544
2014-06-30,1.1544180078875845
2014-07-01,1.1609087115463903
2014-07-02,1.1637869976080755
2014-07-03,1.1667086386062546
2014-07-07,1.15978748566537
2014-07-08,1.1550146976585167
2014-07-09,1.1578090880560776
2014-07-10,1.1436318339166154
2014-07-11,1.1497898514838587
2014-07-14,1.1606969488892391
2014-07-15,1.157807246941797
2014-07-16,1.1800143695470742
2014-07-17,1.1614314660896399
2014-07-18,1.173300108808804
2014-07-21,1.1660798004469035
2014-07-22,1.173041470897333
2014-07-23,1.172139131304335
2014-07-24,1.169444558588693
2014-07-25,1.164128901504199
2014-07-28,1.1667158546186525
2014-07-29,1.1649679656978755
2014-07-30,1.1632356713250904
2014-07-31,1.1349059464883908
2014-08-01,1.122212919455297
2014-08-04,1.1375952772297622
2014-08-05,1.1193328781304215
2014-08-06,1.1186397927569662
2014-08-07,1.1124251272416499
2014-08-08,1.121110728835729
2014-08-11,1.1379273897682647
2014-08-12,1.1402339993421193
2014-08-13,1.1573569672503285
2014-08-14,1.1676066230488555
2014-08-15,1.1621968626331851
2014-08-18,1.1744766785402527
2014-08-19,1.1810275444763338
2014-08-20,1.1819955998406586
2014-08-21,1.183746704433015
2014-08-22,1.1819799183069957
2014-08-25,1.1846065403476778
2014-08-26,1.182831848901464
2014-08-27,1.1810729911335807
2014-08-28,1.1802013505497182
2014-08-29,1.1767301701069248
2014-09-02,1.1775828731287414
2014-09-03,1.1818649926673914
2014-09-04,1.1809895371172674
2014-09-05,1.1870905900765447
2014-09-08,1.1843926569172798
2014-09-09,1.175520801809285
2014-09-10,1.1780670562536373
2014-09-11,1.1806467651359445
2014-09-12,1.1719335048766386
2014-09-15,1.166094690261595
2014-09-16,1.187958965704
2014-09-17,1.1883230910574725
2014-09-18,1.1916587348218444
2014-09-19,1.18996242345555
2014-09-22,1.1773479808040777
2014-09-23,1.1694463165033793
2014-09-24,1.1808370273784123
2014-09-25,1.1622982890646216
2014-09-26,1.168918975521319
2014-09-29,1.1552117823230232
2014-09-30,1.1545008827646706
2014-10-01,1.1460014897627222
2014-10-02,1.1507482414954673
2014-10-03,1.1695217777615565
2014-10-06,1.1610581333172294
2014-10-07,1.1411542796032197
2014-10-08,1.1658459219104238
2014-10-09,1.1360308458746817
